src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
8.0.69.0,0.41.17.71,0,0,IP_90,2025-07-17 23:52:10.533,0.0000772,675246113.9896373,12953.367875647667,12953.367875647667,0.0,1,0,52129,0,52129,52129,52129.0,0.0,0,0,0.0,0.0,52129,52129,52129.0,0.0,0.0,32,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,52129.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0,1,0,52129,0,Unknown
8.0.69.0,0.52.137.215,0,0,IP_161,2025-07-17 23:52:10.791,0.0000179,205251396.64804468,55865.92178770949,55865.92178770949,0.0,1,0,3674,0,3674,3674,3674.0,0.0,0,0,0.0,0.0,3674,3674,3674.0,0.0,0.0,32,0,34,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3674.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0,1,0,3674,0,Unknown
134.221.96.0,0.0.0.32,0,0,IP_161,2025-07-17 23:52:11.494,0.0000192,191354166.6666667,52083.333333333336,52083.333333333336,0.0,1,0,3674,0,3674,3674,3674.0,0.0,0,0,0.0,0.0,3674,3674,3674.0,0.0,0.0,32,0,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3674.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,3674,0,Unknown
134.221.96.0,0.0.0.32,0,0,IP_90,2025-07-17 23:52:11.494,0.0000205,2542878048.7804875,48780.487804878045,48780.487804878045,0.0,1,0,52129,0,52129,52129,52129.0,0.0,0,0,0.0,0.0,52129,52129,52129.0,0.0,0.0,32,0,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,52129.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,52129,0,Unknown
8.0.69.0,1.23.17.72,0,0,IP_90,2025-07-17 23:52:12.192,0.0000355,1468422535.2112675,28169.014084507042,28169.014084507042,0.0,1,0,52129,0,52129,52129,52129.0,0.0,0,0,0.0,0.0,52129,52129,52129.0,0.0,0.0,32,0,261,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,52129.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0,1,0,52129,0,Unknown
8.0.69.0,0.40.137.216,0,0,IP_161,2025-07-17 23:52:12.428,0.0000292,125821917.80821916,34246.57534246575,34246.57534246575,0.0,1,0,3674,0,3674,3674,3674.0,0.0,0,0,0.0,0.0,3674,3674,3674.0,0.0,0.0,32,0,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3674.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0,1,0,3674,0,Unknown
8.0.69.0,0.158.137.217,0,0,IP_161,2025-07-17 23:52:12.429,0.0000677,54268833.08714918,14771.048744460855,14771.048744460855,0.0,1,0,3674,0,3674,3674,3674.0,0.0,0,0,0.0,0.0,3674,3674,3674.0,0.0,0.0,32,0,140,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3674.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0,1,0,3674,0,Unknown
8.0.69.0,0.40.17.73,0,0,IP_90,2025-07-17 23:52:12.469,0.0000329,1584468085.106383,30395.136778115502,30395.136778115502,0.0,1,0,52129,0,52129,52129,52129.0,0.0,0,0,0.0,0.0,52129,52129,52129.0,0.0,0.0,32,0,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,52129.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0,1,0,52129,0,Unknown
134.221.96.0,126.249.0.32,0,0,IP_90,2025-07-17 23:52:12.873,0.0000176,2961875000.0,56818.181818181816,56818.181818181816,0.0,1,0,52129,0,52129,52129,52129.0,0.0,0,0,0.0,0.0,52129,52129,52129.0,0.0,0.0,32,0,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,52129.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,52129,0,Unknown
134.221.96.3,181.223.0.32,0,0,IP_161,2025-07-17 23:52:12.912,0.0000214,171682242.99065423,46728.97196261682,46728.97196261682,0.0,1,0,3674,0,3674,3674,3674.0,0.0,0,0,0.0,0.0,3674,3674,3674.0,0.0,0.0,32,0,54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,3674.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,3674,0,Unknown
